season,team_api_id,time,total_gols_scored,total_partidas,media_gols_partida
2014/2015,9783,RC Deportivo de La Coruña,35,228,0.15350877192982457
2008/2009,9873,Valenciennes FC,35,228,0.15350877192982457
2014/2015,7841,Rio Ave FC,38,248,0.1532258064516129
2008/2009,10264,SC Braga,38,248,0.1532258064516129
2008/2009,8543,Lazio,46,301,0.15282392026578073
2014/2015,7878,Granada CF,29,190,0.15263157894736842
2012/2013,8245,Korona Kielce,32,210,0.1523809523809524
2015/2016,8245,Korona Kielce,32,210,0.1523809523809524
2013/2014,8600,Udinese,46,302,0.152317880794702
2011/2012,8524,Atalanta,40,263,0.1520912547528517
2013/2014,8530,Catania,34,224,0.15178571428571427
2012/2013,9991,KAA Gent,33,218,0.15137614678899083
2013/2014,9941,Toulouse FC,46,304,0.1513157894736842
2015/2016,10267,Valencia CF,46,304,0.1513157894736842
2010/2011,9853,AS Saint-Étienne,46,304,0.1513157894736842
2013/2014,8639,LOSC Lille,46,304,0.1513157894736842
2010/2011,10194,Stoke City,46,304,0.1513157894736842
2010/2011,8689,FC Lorient,46,304,0.1513157894736842
2010/2011,8558,RCD Espanyol,46,304,0.1513157894736842
2008/2009,8558,RCD Espanyol,46,304,0.1513157894736842
2011/2012,8558,RCD Espanyol,46,304,0.1513157894736842
2008/2009,9927,Motherwell,46,304,0.1513157894736842
2014/2015,9761,NAC Breda,36,238,0.15126050420168066
2009/2010,9905,1. FSV Mainz 05,36,238,0.15126050420168066
2011/2012,10000,SV Zulte-Waregem,32,212,0.1509433962264151
2008/2009,10217,ADO Den Haag,41,272,0.15073529411764705
2008/2009,9908,FC Utrecht,41,272,0.15073529411764705
2011/2012,8226,TSG 1899 Hoffenheim,41,272,0.15073529411764705
2015/2016,8674,FC Groningen,41,272,0.15073529411764705
2008/2009,8277,Vitesse,41,272,0.15073529411764705
2011/2012,9904,Hannover 96,41,272,0.15073529411764705
2011/2012,8674,FC Groningen,41,272,0.15073529411764705
2014/2015,10261,Newcastle United,40,266,0.15037593984962405
2008/2009,10261,Newcastle United,40,266,0.15037593984962405
2008/2009,9860,Heart of Midlothian,40,266,0.15037593984962405
2012/2013,9860,Heart of Midlothian,40,266,0.15037593984962405
2013/2014,8654,West Ham United,40,266,0.15037593984962405
2011/2012,10243,FC Zürich,43,286,0.15034965034965034
2009/2010,8673,Legia Warszawa,36,240,0.15
2014/2015,8030,Lechia Gdańsk,36,240,0.15
2008/2009,6403,FC Paços de Ferreira,37,248,0.14919354838709678
2009/2010,10215,Académica de Coimbra,37,248,0.14919354838709678
2014/2015,8581,Levante UD,34,228,0.14912280701754385
2015/2016,10233,Genoa,45,302,0.1490066225165563
2010/2011,10233,Genoa,45,302,0.1490066225165563
2012/2013,8524,Atalanta,39,263,0.1482889733840304
2011/2012,8592,Olympique de Marseille,45,304,0.14802631578947367
2008/2009,9941,Toulouse FC,45,304,0.14802631578947367
2013/2014,8597,Kilmarnock,45,304,0.14802631578947367
2011/2012,8472,Sunderland,45,304,0.14802631578947367
2010/2011,8472,Sunderland,45,304,0.14802631578947367
2015/2016,9938,Dundee United,45,304,0.14802631578947367
2015/2016,9941,Toulouse FC,45,304,0.14802631578947367
2008/2009,8586,Tottenham Hotspur,45,304,0.14802631578947367
2013/2014,10194,Stoke City,45,304,0.14802631578947367
2015/2016,9790,Hamburger SV,40,272,0.14705882352941177
2014/2015,9904,Hannover 96,40,272,0.14705882352941177
2009/2010,8464,N.E.C.,35,238,0.14705882352941177
2013/2014,9800,St. Mirren,39,266,0.14661654135338345
2011/2012,9800,St. Mirren,39,266,0.14661654135338345
2011/2012,10205,Villarreal CF,39,266,0.14661654135338345
2012/2013,8571,KV Kortrijk,31,212,0.14622641509433962
2015/2016,8571,KV Kortrijk,31,212,0.14622641509433962
2014/2015,10167,Parma,33,226,0.14601769911504425
2011/2012,1957,Jagiellonia Białystok,35,240,0.14583333333333334
2012/2013,1601,Ruch Chorzów,35,240,0.14583333333333334
2009/2010,9807,CF Os Belenenses,23,158,0.14556962025316456
2012/2013,7844,Vitória Guimarães,36,248,0.14516129032258066
2010/2011,7844,Vitória Guimarães,36,248,0.14516129032258066
2009/2010,10214,CD Nacional,36,248,0.14516129032258066
2012/2013,9768,Sporting CP,36,248,0.14516129032258066
2014/2015,8597,Kilmarnock,44,304,0.14473684210526316
2014/2015,8689,FC Lorient,44,304,0.14473684210526316
2012/2013,8315,Athletic Club de Bilbao,44,304,0.14473684210526316
2012/2013,8371,CA Osasuna,33,228,0.14473684210526316
2014/2015,9831,OGC Nice,44,304,0.14473684210526316
2011/2012,8597,Kilmarnock,44,304,0.14473684210526316
2014/2015,8524,Atalanta,38,263,0.1444866920152091
2015/2016,8226,TSG 1899 Hoffenheim,39,272,0.14338235294117646
2008/2009,9788,Borussia Mönchengladbach,39,272,0.14338235294117646
