player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final,evolucao
32978,Billy Mehmet,187.96,185,185,2007-02-22,59.0,2012-08-31,62.0,23,28,-1.0
32990,Nicolas Ardouin,185.42,176,176,2007-02-22,64.0,2009-02-22,61.0,29,31,0.0
32995,Enrique de Lucas,175.26,157,157,2007-02-22,67.0,2014-02-14,71.0,28,35,-2.0
32999,Mehdi Lacen,175.26,159,159,2007-02-22,61.0,2016-04-28,76.0,22,32,16.0
33000,Arthuro,190.5,194,194,2007-02-22,73.0,2014-09-18,65.0,24,32,-5.0
33018,Daniel Aranzubia,185.42,181,181,2007-02-22,78.0,2014-02-28,74.0,27,34,-2.0
33021,Ander Murillo,182.88,185,185,2007-02-22,75.0,2011-02-22,68.0,23,27,-4.0
33022,Luis Prieto,180.34,165,165,2007-02-22,73.0,2011-02-22,65.0,28,32,-9.0
33024,Carlos Gurpegi,180.34,165,165,2007-02-22,74.0,2015-10-16,79.0,26,35,5.0
33025,Andoni Iraola,182.88,163,163,2007-02-22,74.0,2016-03-17,76.0,24,33,2.0
33027,Ustaritz,180.34,165,165,2007-02-22,71.0,2015-02-06,65.0,24,31,-3.0
33028,Aritz Aduriz,182.88,172,172,2007-02-22,75.0,2016-03-03,82.0,26,35,9.0
33030,Fernando Llorente,195.58,198,198,2007-02-22,74.0,2015-10-16,80.0,21,30,9.0
33039,Berry Powel,187.96,192,192,2007-02-22,68.0,2014-03-07,65.0,26,33,-3.0
33045,Stephen Kelly,182.88,181,181,2007-02-22,73.0,2016-04-28,66.0,23,32,-7.0
33048,Darren Pratley,185.42,152,152,2007-02-22,58.0,2016-05-05,67.0,21,31,8.0
33049,Lee Bowyer,175.26,152,152,2007-02-22,75.0,2012-02-22,69.0,30,35,-6.0
33060,Enoch Showunmi,195.58,218,218,2007-02-22,55.0,2014-05-16,59.0,24,32,-3.0
