player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final,evolucao,season_first,season_last,season
35345,Jason Puncheon,172.72,157,157,2007-02-22,45.0,2016-05-05,75.0,20,29,27.0,2006/2007,2015/2016,2015/2016
35398,Michael Gardyne,170.18,141,141,2007-02-22,70.0,2016-04-28,63.0,21,30,-7.0,2006/2007,2015/2016,2015/2016
35407,Pierre-Alain Frau,175.26,161,161,2007-02-22,77.0,2014-05-16,70.0,26,34,-7.0,2006/2007,2013/2014,2013/2014
35408,Jerome Leroy,185.42,165,165,2007-02-22,80.0,2015-07-03,64.0,32,40,-16.0,2006/2007,2015/2016,2015/2016
35409,Rafik Saifi,177.8,159,159,2007-02-22,72.0,2011-08-30,60.0,32,36,-12.0,2006/2007,2011/2012,2011/2012
35410,Steve Savidan,175.26,154,154,2007-02-22,72.0,2009-02-22,80.0,28,30,3.0,2006/2007,2008/2009,2008/2009
35411,Demba Ba,187.96,187,187,2007-02-22,63.0,2015-05-22,82.0,21,29,15.0,2006/2007,2014/2015,2014/2015
35412,Wilfried Dalmat,175.26,168,168,2007-02-22,68.0,2011-02-22,71.0,24,28,1.0,2006/2007,2010/2011,2010/2011
35417,Guerkan Sermeter,180.34,157,157,2007-02-22,63.0,2011-02-22,59.0,33,37,-2.0,2006/2007,2010/2011,2010/2011
35421,German Denis,182.88,192,192,2007-02-22,75.0,2016-02-11,75.0,25,34,0.0,2006/2007,2015/2016,2015/2016
35425,Oscar Cardozo,193.04,192,192,2007-02-22,80.0,2016-04-07,77.0,23,32,-3.0,2006/2007,2015/2016,2015/2016
35437,Christian Kalvenes,182.88,170,170,2007-02-22,62.0,2012-08-31,63.0,29,35,-1.0,2006/2007,2012/2013,2012/2013
35438,Danny Shittu,190.5,209,209,2007-02-22,68.0,2015-02-27,67.0,26,34,-5.0,2006/2007,2014/2015,2014/2015
35439,Derek Asamoah,167.64,137,137,2007-02-22,50.0,2016-03-10,61.0,25,34,11.0,2006/2007,2015/2016,2015/2016
35442,Bradley Jones,190.5,168,168,2007-02-22,63.0,2016-02-25,70.0,24,33,-2.0,2006/2007,2015/2016,2015/2016
35443,Sebastian Larsson,177.8,154,154,2007-02-22,63.0,2015-09-21,74.0,21,30,0.0,2006/2007,2015/2016,2015/2016
35444,Mario Licka,177.8,163,163,2007-02-22,70.0,2015-09-25,62.0,24,33,2.0,2006/2007,2015/2016,2015/2016
35451,Lionel Ainsworth,165.1,132,132,2007-02-22,38.0,2015-12-24,68.0,19,28,22.0,2006/2007,2015/2016,2015/2016
35453,Ricardo Batista,193.04,174,174,2007-02-22,70.0,2014-12-05,65.0,20,28,-5.0,2006/2007,2014/2015,2014/2015
35454,Leon Best,185.42,201,201,2007-02-22,58.0,2016-01-21,67.0,20,29,9.0,2006/2007,2015/2016,2015/2016
35463,Willo Flood,167.64,137,137,2007-02-22,72.0,2016-04-28,65.0,21,31,-3.0,2006/2007,2015/2016,2015/2016
35466,Karl Henry,185.42,176,176,2007-02-22,65.0,2016-04-21,71.0,24,33,6.0,2006/2007,2015/2016,2015/2016
35467,Danny Higginbotham,185.42,172,172,2007-02-22,60.0,2013-05-10,65.0,28,34,4.0,2006/2007,2012/2013,2012/2013
35472,Emmerson Boyce,182.88,157,157,2007-02-22,69.0,2016-04-21,61.0,27,36,-8.0,2006/2007,2015/2016,2015/2016
35475,Colin McMenamin,177.8,152,152,2007-02-22,61.0,2012-08-31,61.0,26,31,0.0,2006/2007,2012/2013,2012/2013
35477,David Stockdale,190.5,185,185,2007-02-22,45.0,2016-04-07,72.0,21,30,27.0,2006/2007,2015/2016,2015/2016
35480,Alex Bruce,180.34,179,179,2007-02-22,62.0,2015-09-21,68.0,22,30,6.0,2006/2007,2015/2016,2015/2016
35481,Rob Hulse,187.96,172,172,2007-02-22,77.0,2013-07-12,65.0,27,33,-6.0,2006/2007,2013/2014,2013/2014
35492,Sean Murdoch,187.96,163,163,2007-02-22,62.0,2014-01-31,59.0,20,27,-3.0,2006/2007,2013/2014,2013/2014
35493,Wesley Hoolahan,167.64,157,157,2007-02-22,58.0,2016-05-12,76.0,24,33,9.0,2006/2007,2015/2016,2015/2016
35495,Dorus De Vries,190.5,212,212,2007-02-22,64.0,2016-02-25,71.0,26,35,7.0,2006/2007,2015/2016,2015/2016
35496,Kelvin Davis,185.42,181,181,2007-02-22,69.0,2016-03-17,71.0,30,39,4.0,2006/2007,2015/2016,2015/2016
35497,Mounir El Hamdaoui,182.88,185,185,2007-02-22,74.0,2015-10-23,73.0,22,31,-1.0,2006/2007,2015/2016,2015/2016
35499,Jeremy Clement,180.34,168,168,2007-02-22,73.0,2016-01-14,76.0,22,31,1.0,2006/2007,2015/2016,2015/2016
35500,Brian McLean,187.96,174,174,2007-02-22,60.0,2014-03-28,57.0,21,29,-7.0,2006/2007,2013/2014,2013/2014
35502,Steven Hammell,172.72,172,172,2007-02-22,65.0,2016-03-10,64.0,25,34,-2.0,2006/2007,2015/2016,2015/2016
35503,Rory Loy,177.8,148,148,2007-02-22,51.0,2016-03-10,61.0,18,27,10.0,2006/2007,2015/2016,2015/2016
35506,Zurab Khizanishvili,185.42,172,172,2007-02-22,78.0,2011-02-22,67.0,25,29,-8.0,2006/2007,2010/2011,2010/2011
35513,Mark Howard,182.88,168,168,2007-02-22,54.0,2015-09-21,64.0,20,29,10.0,2006/2007,2015/2016,2015/2016
35515,Simon Francis,190.5,196,196,2007-02-22,57.0,2016-01-28,72.0,22,30,14.0,2006/2007,2015/2016,2015/2016
35523,Glenn Murray,185.42,185,185,2007-02-22,36.0,2016-03-10,72.0,23,32,20.0,2006/2007,2015/2016,2015/2016
35524,Colin Healy,180.34,181,181,2007-02-22,71.0,2016-03-10,62.0,26,35,-5.0,2006/2007,2015/2016,2015/2016
35527,Graham Barrett,177.8,146,146,2007-02-22,68.0,2010-08-30,58.0,25,28,-3.0,2006/2007,2010/2011,2010/2011
35530,Rory Boulding,185.42,159,159,2007-02-22,40.0,2013-05-10,59.0,19,26,19.0,2006/2007,2012/2013,2012/2013
35531,Franck Queudrue,182.88,170,170,2007-02-22,76.0,2012-02-22,63.0,28,33,-8.0,2006/2007,2011/2012,2011/2012
35532,Fabrice Muamba,187.96,172,172,2007-02-22,73.0,2012-02-22,76.0,18,23,3.0,2006/2007,2011/2012,2011/2012
35539,Richard Offiong,180.34,170,170,2007-02-22,66.0,2010-08-30,59.0,23,26,-7.0,2006/2007,2010/2011,2010/2011
35544,Julio Arca,175.26,152,152,2007-02-22,74.0,2013-07-12,65.0,26,32,-10.0,2006/2007,2013/2014,2013/2014
35554,Ian Evatt,190.5,194,194,2007-02-22,53.0,2016-04-28,65.0,25,34,-3.0,2006/2007,2015/2016,2015/2016
35556,Jay Tabb,170.18,141,141,2007-02-22,70.0,2016-05-05,63.0,23,32,-8.0,2006/2007,2015/2016,2015/2016
35559,Jose Saez,170.18,139,139,2007-02-22,64.0,2014-09-18,67.0,24,32,6.0,2006/2007,2014/2015,2014/2015
35560,Guillaume Rippert,180.34,168,168,2007-02-22,62.0,2014-05-02,62.0,21,29,0.0,2006/2007,2013/2014,2013/2014
35561,Hernan Crespo,182.88,179,179,2007-02-22,88.0,2011-08-30,76.0,31,36,-9.0,2006/2007,2011/2012,2011/2012
35574,Andy Dowie,185.42,183,183,2007-02-22,60.0,2012-02-22,61.0,23,28,1.0,2006/2007,2011/2012,2011/2012
35575,Mauricio Pinilla,187.96,172,172,2007-02-22,74.0,2016-05-05,76.0,23,32,9.0,2006/2007,2015/2016,2015/2016
35576,John Baird,172.72,165,165,2007-02-22,62.0,2014-01-03,58.0,21,28,-4.0,2006/2007,2013/2014,2013/2014
35580,Quinton Fortune,182.88,163,163,2007-02-22,78.0,2010-02-22,72.0,29,32,0.0,2006/2007,2009/2010,2009/2010
35587,Paul McGowan,170.18,143,143,2007-02-22,59.0,2016-04-28,67.0,19,28,8.0,2006/2007,2015/2016,2015/2016
35606,Per Mertesacker,198.12,198,198,2007-02-22,85.0,2016-03-10,83.0,22,31,-4.0,2006/2007,2015/2016,2015/2016
35607,Frank Fahrenhorst,190.5,170,170,2007-02-22,77.0,2011-02-22,67.0,29,33,-10.0,2006/2007,2010/2011,2010/2011
35608,"Afonso Alves,24",185.42,163,163,2007-02-22,74.0,2010-02-22,78.0,26,29,-6.0,2006/2007,2009/2010,2009/2010
35612,"Franco Miranda,22",180.34,165,165,2007-02-22,56.0,2009-02-22,65.0,21,23,3.0,2006/2007,2008/2009,2008/2009
35626,Emanuele Belardi,187.96,176,176,2007-02-22,67.0,2014-04-11,67.0,29,36,0.0,2006/2007,2013/2014,2013/2014
35628,Luke Wilkshire,175.26,159,159,2007-02-22,66.0,2016-02-18,70.0,25,34,6.0,2006/2007,2015/2016,2015/2016
35636,Amdy Faye,182.88,172,172,2007-02-22,77.0,2009-08-30,69.0,29,32,-8.0,2006/2007,2009/2010,2009/2010
35637,Djimi Traore,190.5,190,190,2007-02-22,71.0,2014-09-23,64.0,26,34,-8.0,2006/2007,2014/2015,2014/2015
35638,Pedro Munitis,167.64,154,154,2007-02-22,82.0,2012-02-22,74.0,31,36,-8.0,2006/2007,2011/2012,2011/2012
35641,Simone Barone,180.34,170,170,2007-02-22,82.0,2012-02-22,67.0,28,33,-15.0,2006/2007,2011/2012,2011/2012
35643,Marco Marchionni,172.72,157,157,2007-02-22,78.0,2016-03-10,69.0,26,35,-9.0,2006/2007,2015/2016,2015/2016
35644,Antonio Mirante,193.04,174,174,2007-02-22,72.0,2016-04-07,78.0,23,32,4.0,2006/2007,2015/2016,2015/2016
35666,Merouane Zemmama,170.18,137,137,2007-02-22,60.0,2013-03-01,67.0,23,29,-2.0,2006/2007,2012/2013,2012/2013
35679,Roland Linz,185.42,172,172,2007-02-22,70.0,2014-04-18,64.0,25,32,-11.0,2006/2007,2013/2014,2013/2014
35680,Gabri,175.26,165,165,2007-02-22,70.0,2014-04-04,60.0,28,35,-11.0,2006/2007,2013/2014,2013/2014
35682,Gheorghe Ogararu,177.8,159,159,2007-02-22,69.0,2011-08-30,66.0,26,31,-3.0,2006/2007,2011/2012,2011/2012
35708,Uwe Huenemeier,187.96,185,185,2007-02-22,60.0,2015-11-19,73.0,21,29,13.0,2006/2007,2015/2016,2015/2016
35712,Jose Holebas,182.88,174,174,2007-02-22,63.0,2016-03-10,77.0,22,31,14.0,2006/2007,2015/2016,2015/2016
35718,Kenneth Perez,182.88,163,163,2007-02-22,77.0,2010-02-22,75.0,32,35,-2.0,2006/2007,2009/2010,2009/2010
35724,Zlatan Ibrahimovic,195.58,209,209,2007-02-22,87.0,2015-09-21,89.0,25,33,2.0,2006/2007,2015/2016,2015/2016
35725,Steven MacLean,180.34,174,174,2007-02-22,61.0,2016-03-10,66.0,24,33,-5.0,2006/2007,2015/2016,2015/2016
35751,Gary Warren,182.88,165,165,2007-02-22,58.0,2016-04-21,66.0,22,31,8.0,2006/2007,2015/2016,2015/2016
35768,Martin Stocklasa,190.5,198,198,2007-02-22,50.0,2014-05-02,61.0,27,34,11.0,2006/2007,2013/2014,2013/2014
35787,Gary Fraser,177.8,154,154,2007-02-22,55.0,2016-03-10,62.0,12,21,7.0,2006/2007,2015/2016,2015/2016
35818,Dominik Schmidt,187.96,172,172,2007-02-22,60.0,2012-02-22,67.0,19,24,7.0,2006/2007,2011/2012,2011/2012
35828,Daniel Brueckner,182.88,170,170,2007-02-22,38.0,2016-01-07,68.0,26,34,30.0,2006/2007,2015/2016,2015/2016
35831,Albert Bunjaku,177.8,165,165,2007-02-22,64.0,2015-10-30,67.0,23,31,3.0,2006/2007,2015/2016,2015/2016
35852,Fin Bartels,175.26,152,152,2007-02-22,57.0,2016-05-12,74.0,20,29,17.0,2006/2007,2015/2016,2015/2016
35875,Benedikt Pliquett,198.12,209,209,2007-02-22,47.0,2014-09-18,63.0,22,29,16.0,2006/2007,2014/2015,2014/2015
35881,Carsten Rothenbach,185.42,185,185,2007-02-22,61.0,2013-12-27,59.0,26,33,-2.0,2006/2007,2013/2014,2013/2014
35882,Charles Takyi,177.8,161,161,2007-02-22,62.0,2014-05-02,64.0,22,29,2.0,2006/2007,2013/2014,2013/2014
35883,Florian Bruns,187.96,187,187,2007-02-22,65.0,2013-04-19,66.0,27,33,1.0,2006/2007,2012/2013,2012/2013
35891,Rene Mihelic,172.72,159,159,2007-02-22,65.0,2012-08-31,67.0,18,24,2.0,2006/2007,2012/2013,2012/2013
35901,Ken Kallaste,182.88,176,176,2007-02-22,59.0,2016-04-14,60.0,18,27,1.0,2006/2007,2015/2016,2015/2016
35905,Gary Hooper,175.26,157,157,2007-02-22,55.0,2016-04-28,74.0,19,28,19.0,2006/2007,2015/2016,2015/2016
