player_api_id,player_name,rating_inicial,rating_final,evolucao
18388,"Leandro Gioda,28",73.0,71.0,-2.0
18395,Marcos Aguirre,73.0,65.0,-8.0
18483,Pablo Javier Perez,78.0,76.0,-2.0
18500,Maximiliano Pellegrino,77.0,66.0,-11.0
18501,Hernan Pellerano,71.0,70.0,-1.0
18506,Mauro Zarate,77.0,76.0,-1.0
18518,Jose Sosa,82.0,80.0,-2.0
18520,Marcos Angeleri,74.0,76.0,2.0
18521,Jose Maria Basanta,70.0,75.0,5.0
18533,Loic Loval-Landre,67.0,65.0,-2.0
18548,Jose Ze Pedro,74.0,67.0,-7.0
18549,Tiago Targino,69.0,70.0,1.0
18552,Ferreira de Matos Alonso,67.0,71.0,4.0
18558,Nicolas Navarro,75.0,67.0,-8.0
18576,Lucas Barrios,76.0,75.0,-1.0
18590,Cristian Llama,71.0,64.0,-7.0
18592,Roman Martinez,68.0,69.0,1.0
18628,Marco Ruben,66.0,76.0,10.0
18636,Pablo Barzola,63.0,64.0,1.0
18644,Federico Almerares,61.0,66.0,5.0
18653,Jose Gustavo Sand,72.0,68.0,-4.0
18664,Christian Fernandez,55.0,67.0,12.0
18673,Gustavo Cabral,69.0,77.0,8.0
18705,Jesus Datolo,74.0,77.0,3.0
18733,Pablo Barrientos,77.0,72.0,-5.0
18734,Dario Cvitanich,69.0,74.0,5.0
18784,Emiliano Daniel Armenteros,70.0,70.0,0.0
18814,Fernando Gago,80.0,76.0,-4.0
18816,Pablo Martin Ledesma,75.0,65.0,-10.0
18820,Ezequiel Scarione,64.0,73.0,9.0
18823,Matias Silvestre,78.0,73.0,-5.0
18848,Jonathan Bottinelli,73.0,71.0,-2.0
18853,Claudio Morel,71.0,68.0,-3.0
18859,Mauro Boselli,69.0,74.0,5.0
18880,Nicolas Federico Spolli,75.0,74.0,-1.0
18904,David Abraham,60.0,75.0,15.0
18913,Juan Eduardo Eluchans,67.0,69.0,2.0
18923,Carlos Matheu,70.0,67.0,-3.0
18925,Ezequiel Lavezzi,81.0,78.0,-3.0
18945,Santiago Gentiletti,66.0,77.0,11.0
19000,Dante Adrian Senger,61.0,61.0,0.0
19014,Guillaume Ducatel,45.0,58.0,13.0
19020,Christopher Samba,78.0,77.0,-1.0
19232,Rafael Miranda,73.0,73.0,0.0
19243,Diego Costa,74.0,85.0,11.0
19249,Danilo,68.0,78.0,10.0
19264,Evandro Goebel,69.0,75.0,6.0
19277,Dinei,71.0,72.0,1.0
19281,Edivaldo Rojas,58.0,65.0,7.0
19285,Rafael Marques,67.0,72.0,5.0
19297,Thiago Xavier,61.0,64.0,3.0
19309,Edson Sitta,69.0,68.0,-1.0
19310,Dyego Rocha Coelho,71.0,69.0,-2.0
19327,Miranda,75.0,85.0,10.0
19344,Artur,70.0,73.0,3.0
19352,Jonathan,65.0,73.0,8.0
19353,Fabionn Lopes Patrick,64.0,64.0,0.0
19370,Rodrigo Arroz,65.0,64.0,-1.0
19372,Bruno China,61.0,67.0,6.0
19380,Vinicius Pacheco,71.0,70.0,-1.0
19393,Diego,70.0,70.0,0.0
19403,Galatto,68.0,69.0,1.0
19427,Claudio Pitbull,73.0,66.0,-7.0
19434,Marcelo Boeck,68.0,71.0,3.0
19435,Renan,65.0,74.0,9.0
19436,Edinho,69.0,71.0,2.0
19439,Joao Guilherme,71.0,68.0,-3.0
19446,Pedro Silva,69.0,70.0,1.0
19488,Rivaldo,68.0,67.0,-1.0
19489,Halisson,65.0,69.0,4.0
19511,Josue,75.0,73.0,-2.0
19512,Renan Silva,69.0,67.0,-2.0
19515,Cassio,63.0,74.0,11.0
19524,Claudemir,64.0,69.0,5.0
19531,Silva,64.0,65.0,1.0
19533,Neymar,73.0,90.0,17.0
19674,Branko Jelic,60.0,58.0,-2.0
19696,Zhi Zheng,73.0,70.0,-3.0
19908,Junmin Hao,65.0,67.0,2.0
20118,Takafumi Akahoshi,59.0,68.0,9.0
20125,Hajime Hosogai,67.0,70.0,3.0
20174,Koki Mizuno,78.0,67.0,-11.0
20196,Kisho Yano,67.0,67.0,0.0
20241,Takahito Soma,57.0,63.0,6.0
20276,Hulk,72.0,84.0,12.0
20323,Carciano,67.0,67.0,0.0
20325,Marcelo Silva,66.0,71.0,5.0
20329,Rafael Dias,59.0,65.0,6.0
20342,Rafael Santos,67.0,69.0,2.0
20396,Felipe Santana,71.0,74.0,3.0
20399,Dudu,61.0,60.0,-1.0
20401,Michel Bastos,76.0,78.0,2.0
20445,Ederson Tormena,58.0,66.0,8.0
20446,Fagner,70.0,72.0,2.0
20482,Marcos Ceara,71.0,72.0,1.0
20645,Mike Havenaar,72.0,72.0,0.0
20694,Shinji Okazaki,70.0,76.0,6.0
20720,Robert Cullen,61.0,66.0,5.0
20747,Eiji Kawashima,70.0,69.0,-1.0
20771,Akihiro Ienaga,72.0,67.0,-5.0
20790,Michihirio Yasuda,70.0,64.0,-6.0
21123,Erik Friberg,61.0,65.0,4.0
21161,Amoreirinha,60.0,65.0,5.0
21164,Thiago Neves,75.0,77.0,2.0
21213,Daniel Dunst,55.0,55.0,0.0
21410,Sebastian Leto,74.0,70.0,-4.0
21414,Oscar Trejo,74.0,77.0,3.0
21445,Juca,72.0,71.0,-1.0
21446,Hernanes,71.0,80.0,9.0
21450,Marc Bertran,66.0,69.0,3.0
21458,Andre Leone,73.0,71.0,-2.0
21528,Mark Burchill,60.0,55.0,-5.0
21613,Nikola Kalinic,63.0,78.0,15.0
21645,David Meul,61.0,62.0,1.0
21657,Alexandre Di Gregorio,58.0,59.0,1.0
21726,Ibrahima Conte,63.0,71.0,8.0
21744,Bart Goossens,53.0,57.0,4.0
21751,Mohammed Rabiu,60.0,71.0,11.0
21753,Tim Matthijs,67.0,68.0,1.0
21765,Jop van der Linden,64.0,72.0,8.0
21776,Gregory Lorenzi,66.0,66.0,0.0
21785,Esteban Solari,71.0,70.0,-1.0
21812,Michael Klukowski,67.0,69.0,2.0
21834,Rachid Farssi,52.0,65.0,13.0
21849,Chris McCann,56.0,69.0,13.0
21853,Dudley Campbell,68.0,69.0,1.0
21864,Stephen Quinn,63.0,71.0,8.0
21894,Junio Cesar Arcanjo Juninho,68.0,65.0,-3.0
21914,Chris Robertson,55.0,63.0,8.0
21982,Raffaele Schiavi,58.0,66.0,8.0
22045,Lee Tomlin,57.0,70.0,13.0
22096,Giuseppe Aquaro,61.0,60.0,-1.0
22103,Luigi Beghetto,55.0,61.0,6.0
22125,Paulo Lopes,59.0,69.0,10.0
22126,Hugo Carreira,67.0,67.0,0.0
22128,Tony,67.0,65.0,-2.0
22130,Hugo Valdir,61.0,60.0,-1.0
22131,Hugo Morais,61.0,66.0,5.0
22134,Rui Borges,65.0,65.0,0.0
22136,Tiago Rosa,57.0,57.0,0.0
22139,Anselmo,55.0,68.0,13.0
22234,Jose Mari,79.0,61.0,-18.0
22283,Fabrizio Cacciatore,59.0,72.0,13.0
22305,Simone Farelli,57.0,59.0,2.0
22313,Elkin Soto,70.0,72.0,2.0
22337,Leandro Castan,69.0,79.0,10.0
22343,Benjamin Fischer,46.0,46.0,0.0
22355,Lorenzo Del Prete,63.0,70.0,7.0
22382,Drissa Diarra,64.0,59.0,-5.0
22386,Stefano Ferrario,62.0,65.0,3.0
22418,Peterson Pecanha,72.0,73.0,1.0
22421,Tiago Valente,52.0,65.0,13.0
22427,"Ricardo Pedrinha,27",62.0,70.0,8.0
22428,Cristiano,64.0,71.0,7.0
22434,Ronny Carlos da Silva,68.0,66.0,-2.0
22444,Garry Wood,55.0,55.0,0.0
22514,Rodrigues Saulo,66.0,67.0,1.0
22519,Carlitos,60.0,66.0,6.0
22535,Elson,69.0,69.0,0.0
22543,Radamel Falcao,69.0,82.0,13.0
22544,Wason Renteria,75.0,69.0,-6.0
22545,Marcinho,75.0,73.0,-2.0
22700,Lorenzo Bucchi,52.0,57.0,5.0
22706,Kostadin Hazurov,65.0,65.0,0.0
22707,Stanislav Manolev,72.0,70.0,-2.0
22714,Ivan Ivanov,68.0,70.0,2.0
22732,Janicio Martins,65.0,69.0,4.0
22764,Martin Skrtel,71.0,81.0,10.0
22785,Stilianos Malezas,59.0,71.0,12.0
22822,Aleksander Seliga,66.0,67.0,1.0
22824,Dusan Svento,74.0,70.0,-4.0
22831,Marcel Gecov,58.0,65.0,7.0
22832,Lukas Jarolim,71.0,68.0,-3.0
22834,Marek Suchy,60.0,78.0,18.0
22894,Dean Hammond,61.0,69.0,8.0
22924,Neil Alexander,66.0,64.0,-2.0
22928,Glenn Loovens,60.0,68.0,8.0
22929,Joe Ledley,64.0,74.0,10.0
22952,Isaac Osbourne,61.0,60.0,-1.0
22959,Luke Varney,56.0,66.0,10.0
22962,Ben Williams,60.0,63.0,3.0
22964,Billy Jones,60.0,71.0,11.0
22969,Michael Higdon,64.0,63.0,-1.0
22978,Ross Turnbull,61.0,65.0,4.0
22982,Philip Chidi Onyemah,61.0,64.0,3.0
22984,Ivan Cordoba,82.0,78.0,-4.0
22988,Mark Hudson,68.0,67.0,-1.0
22991,Ben Watson,68.0,71.0,3.0
22994,Tom Soares,67.0,59.0,-8.0
22998,Julian Speroni,59.0,76.0,17.0
23007,Andrew Davies,69.0,67.0,-2.0
23016,Chris Turner,55.0,60.0,5.0
23019,Giles Barnes,73.0,71.0,-2.0
23021,Boaz Myhill,68.0,72.0,4.0
23022,Andrew Dawson,55.0,57.0,2.0
23023,Ian Ashbee,57.0,65.0,8.0
23025,Nick Barmby,63.0,61.0,-2.0
23027,Matt Duke,61.0,60.0,-1.0
23030,Damien Delaney,54.0,74.0,20.0
23034,Craig Fagan,71.0,61.0,-10.0
23036,Ryan France,54.0,60.0,6.0
23051,Jimmy Juan,60.0,60.0,0.0
23054,Owen Garvan,63.0,66.0,3.0
23065,Stephen Crainey,64.0,65.0,1.0
23069,Frazer Richardson,64.0,62.0,-2.0
23070,Shaun Derry,64.0,63.0,-1.0
23072,Richard Cresswell,69.0,59.0,-10.0
23073,Matthew Kilgallon,74.0,68.0,-6.0
23074,Robbie Blake,69.0,63.0,-6.0
23075,Franco Sosa,63.0,70.0,7.0
23080,Rab Douglas,60.0,61.0,1.0
23081,Alan Maybury,61.0,58.0,-3.0
23083,Stephen Hughes,64.0,63.0,-1.0
23091,Richard Stearman,64.0,72.0,8.0
23093,Tommy Wright,55.0,52.0,-3.0
23099,Kevin Foley,66.0,66.0,0.0
23104,Rowan Vine,70.0,61.0,-9.0
23114,Dean Brill,58.0,66.0,8.0
23115,Leon Barnett,63.0,70.0,7.0
23117,John Sutton,55.0,65.0,10.0
23127,Jody Morris,63.0,64.0,1.0
23133,Adam Drury,71.0,64.0,-7.0
23134,Jason Shackell,67.0,75.0,8.0
23139,Dean Ashton,78.0,81.0,3.0
23141,Paul Gallacher,64.0,62.0,-2.0
23144,Jurgen Colin,63.0,65.0,2.0
23147,Joe Lewis,46.0,67.0,21.0
23148,Marc Janko,64.0,74.0,10.0
23151,Frazer Wright,64.0,65.0,1.0
23163,Akos Buzsaky,56.0,71.0,15.0
23170,Matt Derbyshire,75.0,65.0,-10.0
23182,Omar Daley,55.0,63.0,8.0
23185,Graham Alexander,69.0,64.0,-5.0
23186,Callum Davidson,69.0,59.0,-10.0
23187,Youl Mawene,62.0,62.0,0.0
23190,David Nugent,78.0,71.0,-7.0
23193,Matthew Hill,63.0,60.0,-3.0
23225,Stephen Hunt,77.0,64.0,-13.0
23249,"Lee Bullen,29",66.0,59.0,-7.0
23253,Glenn Whelan,68.0,76.0,8.0
23254,Burton O'Brien,66.0,63.0,-3.0
